Country,Year,WNV_Count
Greece ,2011,100
Hungary,2011,3
Italy,2011,14
Romania,2011,11
Albania,2011,2
Former Yugolav Republic of Macedonia,2011,4
Israel,2011,39
Russia,2011,153
Tunisia,2011,3
Turkey,2011,3
Ukraine,2011,8
Bulgaria,2012,2
Greece ,2012,161
Hungary,2012,17
Italy,2012,50
Romania,2012,14
Algeria,2012,1
Croatia,2012,5
Former Yugolav Republic of Macedonia,2012,6
Israel,2012,83
Kosovo,2012,4
Montenegro,2012,1
Russia,2012,447
Serbia,2012,69
Tunisia,2012,63
Ukraine,2012,12
Croatia,2013,16
Czech Republic,2013,1
Greece ,2013,86
Hungary,2013,31
Italy,2013,69
Romania,2013,24
Slovenia,2013,1
Bosnia and Herzegovina,2013,3
Former Yugolav Republic of Macedonia,2013,1
Israel,2013,63
Montenegro,2013,4
Russia,2013,177
Serbia,2013,302
Tunisia,2013,6
Ukraine,2013,1
Austria,2014,1
Greece ,2014,15
Hungary,2014,11
Italy,2014,24
Romania,2014,23
Bosnia and Herzegovina,2014,13
Israel,2014,17
Russia,2014,29
Serbia ,2014,76
Austria,2015,7
Bulgaria,2015,2
France,2015,1
Hungary,2015,18
Italy,2015,61
Portugal,2015,1
Romania,2015,32
Israel,2015,125
Russia,2015,39
Serbia,2015,28
Austria,2016,5
Bulgaria,2016,2
Croatia,2016,1
Cyprus,2016,1
Hungary,2016,44
Italy,2016,76
Romania,2016,93
Spain,2016,3
Israel,2016,84
Russia,2016,135
Serbia,2016,41
Tunisia,2016,1
Turkey,2016,2
Ukraine,2016,1
Austria,2017,5
Bulgaria,2017,1
Croatia,2017,5
France,2017,1
Greece ,2017,48
Hungary,2017,21
Italy,2017,57
Romania,2017,66
Israel,2017,28
Serbia,2017,49
Turkey,2017,7
Austria,2018,20
Bulgaria,2018,15
Croatia,2018,53
Cyprus,2018,1
Czech Republic,2018,5
France,2018,27
Greece ,2018,311
Hungary,2018,215
Israel,2018,128
Italy,2018,576
Kosovo,2018,14
Romania,2018,277
Serbia,2018,415
Slovenia,2018,3
Turkey,2018,23
Austria,2019,4
Bulgaria,2019,4
Cyprus,2019,16
Czech Republic,2019,1
Germany,2019,4
Greece ,2019,223
France,2019,2
Hungary,2019,36
Israel,2019,10
Italy,2019,53
Former Yugolav Republic of Macedonia,2019,6
Romania,2019,66
Serbia,2019,27
Slovakia,2019,1
Turkey,2019,10
Bulgaria,2020,1
Germany,2020,13
Greece ,2020,143
Hungary,2020,3
Israel,2020,17
Italy,2020,66
Netherlands,2020,7
Romania,2020,6
Spain,2020,77
